filename,expected_found,center_x,center_y,radius,tolerance_px,notes
positives/web_20260429_030950_481.png,1,116.5,477.2,95.8,25,
positives/web_20260429_030959_218.png,1,159.7,508.4,98.9,25,
positives/web_20260429_031012_988.png,1,319,517.9,95,25,
positives/web_20260429_031020_771.png,1,442.9,551.7,100.5,25,
positives/web_20260429_031028_978.png,1,524.2,533.5,97.7,25,
positives/web_20260429_031039_742.png,1,152.8,500.6,103.6,25,
positives/web_20260429_031045_121.png,1,93.9,479.8,96.1,25,
positives/web_20260429_031050_005.png,1,136.4,382.9,93.6,25,
positives/web_20260429_031055_746.png,1,178.8,279.8,95.9,25,
positives/web_20260429_031100_546.png,1,227.3,173.3,89.2,25,
positives/web_20260429_031105_060.png,1,365.8,105.8,84.1,25,
positives/web_20260429_031109_041.png,1,296.5,57.3,93.1,25,
positives/web_20260429_031113_013.png,1,385.7,66.8,91.5,25,
positives/web_20260429_031117_517.png,1,489.6,40,93.7,25,
positives/web_20260429_031209_258.png,1,545,472.9,93.8,25,
positives/web_20260429_031218_654.png,1,518.2,501.5,95.8,25,
positives/web_20260429_031238_536.png,1,281.8,563.8,92,25,
positives/web_20260429_031252_066.png,1,181.4,531.8,92.2,25,
positives/web_20260429_031307_508.png,1,105.2,562.1,94.1,25,
positives/web_20260429_031319_110.png,1,137.2,486.8,95,25,
positives/web_20260429_031329_953.png,1,152.8,373.3,91.8,25,
positives/web_20260429_031343_471.png,1,170.1,329.2,95.3,25,
positives/web_20260429_031355_777.png,1,227.3,161.2,87.1,25,
positives/web_20260429_031407_472.png,1,321.6,184.6,86.7,25,
positives/web_20260429_031415_369.png,1,409.1,214.9,89.1,25,
positives/web_20260429_031421_252.png,1,403,295.4,88.5,25,
positives/web_20260429_031426_096.png,1,485.3,312.7,87.2,25,
positives/web_20260429_031431_573.png,1,374.5,383.7,87.6,25,
positives/web_20260429_031534_614.png,1,274,220.1,90.3,25,
positives/web_20260429_031600_326.png,1,559.7,397.6,90.7,25,
