filename,expected_found,center_x,center_y,radius,tolerance_px,notes
positives_2/web_20260429_040143_737.png,1,124.9,163.1,89.6,25,
positives_2/web_20260429_040228_420.png,1,157.6,449.4,86.5,25,
positives_2/web_20260429_040234_076.png,1,228.4,509.1,89.8,25,
positives_2/web_20260429_040242_864.png,1,328.2,532.4,91,25,
positives_2/web_20260429_040259_161.png,1,462.5,590.2,122.7,25,
positives_2/web_20260429_040306_684.png,1,558.5,437.3,89.2,25,
positives_2/web_20260429_040313_715.png,1,663,464.3,95,25,
positives_2/web_20260429_040330_181.png,1,764.6,427,94.8,25,
positives_2/web_20260429_040336_238.png,1,694.7,331.9,94.4,25,
positives_2/web_20260429_040343_137.png,1,713.3,250.8,95.5,25,
positives_2/web_20260429_040349_628.png,1,612.6,251.7,96.6,25,
positives_2/web_20260429_040401_303.png,1,472.7,584.6,90.5,25,
positives_2/web_20260429_040412_948.png,1,534.3,594.9,92.3,25,
positives_2/web_20260429_040416_694.png,1,546.4,552,90.6,25,
positives_2/web_20260429_040423_589.png,1,361.8,591.1,89.5,25,
positives_2/web_20260429_040440_442.png,1,472.7,465.2,89.7,25,
positives_2/web_20260429_040446_954.png,1,569.7,432.6,96.3,25,
positives_2/web_20260429_040453_710.png,1,619.1,362.7,96.9,25,
positives_2/web_20260429_040500_034.png,1,693.7,319.8,97.1,25,
